scenario_id,cause
CASE39_SCN_001511,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001517,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001550,line_23_36 islanding (bus 36)
CASE39_SCN_001555,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001557,line_23_36 islanding (bus 36)
CASE39_SCN_001592,line_23_36 islanding (bus 36)
CASE39_SCN_001607,line_23_36 islanding (bus 36)
CASE39_SCN_001614,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001626,line_23_36 islanding (bus 36)
CASE39_SCN_001651,line_23_36 islanding (bus 36)
CASE39_SCN_001676,line_23_36 islanding (bus 36)
CASE39_SCN_001776,line_23_36 islanding (bus 36)
CASE39_SCN_001801,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001812,line_23_36 islanding (bus 36)
CASE39_SCN_001824,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001829,line_23_36 islanding (bus 36)
CASE39_SCN_001830,line_23_36 islanding (bus 36)
CASE39_SCN_001853,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001862,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001868,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001886,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001899,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001909,line_23_36 islanding (bus 36)
CASE39_SCN_001911,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001912,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001916,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001936,line_23_36 islanding (bus 36)
CASE39_SCN_001940,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001944,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_001951,line_23_36 islanding (bus 36)
CASE39_SCN_001992,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_004519,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_004702,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_004727,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_004758,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_004759,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_004786,line_23_36 islanding (bus 36)
CASE39_SCN_004871,line_23_36 islanding (bus 36)
CASE39_SCN_004898,"line_16_19 islanding (buses 19,20,33,34)"
CASE39_SCN_004903,line_23_36 islanding (bus 36)
CASE39_SCN_004931,"line_16_19 islanding (buses 19,20,33,34)"
