scenario_id,event_class,config,model,correct_diag,correct_tool,grounded,halluc,recommendation,latency,confidence,is_correct
IEEE14_SCN_000529,E1,E1_LLM,mock,True,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.94112334177644,0.541363198422821,True
IEEE14_SCN_000755,E2,E1_LLM,mock,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': True, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.7033075663417203,0.43125154382707814,False
IEEE14_SCN_002952,E9,E1_LLM,mock,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': True, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.892689010393021,0.7438297209101604,False
IEEE14_SCN_001155,E3,E1_LLM,mock,True,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.2182799486838953,0.7085186407420682,True
IEEE14_SCN_000870,E2,E1_LLM,mock,False,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': True, 'H-ACT': True}",NO_EFFECT,1.2204036988074543,0.3796384779419784,False
IEEE14_SCN_002776,E9,E1_LLM,mock,False,False,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.5057767467332444,0.21818993673291925,False
IEEE14_SCN_001827,E6,E1_LLM,mock,False,True,True,"{'H-NUM': True, 'H-TOP': True, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.3296526967753752,0.5689076611513008,False
IEEE14_SCN_000405,E1,E1_LLM,mock,True,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.4916191384074147,0.3367832437522612,True
IEEE14_SCN_001384,E4,E1_LLM,mock,False,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,0.6451104337669159,0.5436565987159451,False
IEEE14_SCN_001379,E4,E1_LLM,mock,False,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.5780329764382475,0.31215514079095635,False
IEEE14_SCN_000337,E1,E1_LLM,mock,True,False,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.0396137269043262,0.7771276652171293,True
IEEE14_SCN_001784,E5,E1_LLM,mock,True,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': True, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.251603307347077,0.6897967933051337,True
IEEE14_SCN_001664,E5,E1_LLM,mock,False,False,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': True, 'H-ACT': False}",NO_EFFECT,0.5,0.5403168640925085,False
