scenario_id,event_class,config,model,correct_diag,correct_tool,grounded,halluc,recommendation,latency,confidence,is_correct
IEEE14_SCN_000529,E1,E1_LLM,mock,False,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.4098627815045168,0.48602261083481313,False
IEEE14_SCN_000755,E2,E1_LLM,mock,True,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.6581928994592515,0.7998454279407654,True
IEEE14_SCN_002952,E9,E1_LLM,mock,False,False,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,0.6638307210631068,0.14533889959889046,False
IEEE14_SCN_001155,E3,E1_LLM,mock,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.1732159968270126,0.49412810981550037,False
IEEE14_SCN_000870,E2,E1_LLM,mock,True,False,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.676383723304944,0.8332431423126906,True
IEEE14_SCN_002776,E9,E1_LLM,mock,False,False,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': True, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.3964969513753673,0.5972537918527541,False
IEEE14_SCN_001827,E6,E1_LLM,mock,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': True, 'H-TOOL': True, 'H-ACT': False}",NO_EFFECT,1.3310312973187068,0.6560070151745948,True
IEEE14_SCN_000405,E1,E1_LLM,mock,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.995011284654753,0.40425191349590694,False
IEEE14_SCN_001384,E4,E1_LLM,mock,True,False,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': True, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.9568193338845961,0.7518856049664584,True
IEEE14_SCN_001379,E4,E1_LLM,mock,False,False,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.1708684823626851,0.32982759412382495,False
IEEE14_SCN_000337,E1,E1_LLM,mock,True,False,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': True, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.6909316010000566,0.7367167779997836,True
IEEE14_SCN_001784,E5,E1_LLM,mock,False,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.076915030290313,0.4735888749217416,False
IEEE14_SCN_001664,E5,E1_LLM,mock,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.433758509254381,0.5040873741785662,False
IEEE14_SCN_001796,E5,E1_LLM,mock,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.0276964670170279,0.699321354876353,True
IEEE14_SCN_002785,E9,E1_LLM,mock,True,False,False,"{'H-NUM': True, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': True, 'H-ACT': False}",SUCCESS,1.202230583516149,0.6108290149098701,True
IEEE14_SCN_002988,E9,E1_LLM,mock,False,False,False,"{'H-NUM': False, 'H-TOP': True, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.9349379984331876,0.292829529665672,False
IEEE14_SCN_002341,E7,E1_LLM,mock,True,False,True,"{'H-NUM': False, 'H-TOP': True, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': True, 'H-ACT': False}",NO_EFFECT,0.6825958205220574,0.9570364482401605,True
IEEE14_SCN_002050,E6,E1_LLM,mock,True,False,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.6978650556100361,0.6050782675550366,True
IEEE14_SCN_001817,E6,E1_LLM,mock,True,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.0172999888537904,1.0,True
IEEE14_SCN_001253,E4,E1_LLM,mock,True,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': True, 'H-ACT': False}",SUCCESS,1.2278222372910343,0.7040856974065473,True
IEEE14_SCN_000529,E1,E2_LLM_RAG,mock,False,False,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': True, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.4470827429987736,0.2568884129558012,False
IEEE14_SCN_000755,E2,E2_LLM_RAG,mock,True,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': True, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.7031254137853133,0.8640205929222833,True
IEEE14_SCN_002952,E9,E2_LLM_RAG,mock,False,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.822620108492874,0.3951123148560216,False
IEEE14_SCN_001155,E3,E2_LLM_RAG,mock,True,True,True,"{'H-NUM': True, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.420372843543128,0.7551045934165624,True
IEEE14_SCN_000870,E2,E2_LLM_RAG,mock,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.5132416549118066,0.7313185451131743,True
IEEE14_SCN_002776,E9,E2_LLM_RAG,mock,False,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,2.2211180203032708,0.41559468023250506,False
IEEE14_SCN_001827,E6,E2_LLM_RAG,mock,True,False,False,"{'H-NUM': True, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.7096665019081805,0.6247474761104634,True
IEEE14_SCN_000405,E1,E2_LLM_RAG,mock,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': True, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.7238910509622547,0.6966016978003426,True
IEEE14_SCN_001384,E4,E2_LLM_RAG,mock,True,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,2.1919991618104606,0.5015314106584561,True
IEEE14_SCN_001379,E4,E2_LLM_RAG,mock,True,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': True, 'H-ACT': False}",NO_EFFECT,1.7908038239283337,0.5263658842292596,True
IEEE14_SCN_000337,E1,E2_LLM_RAG,mock,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': True, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,2.305083769867366,0.7284191675941637,True
IEEE14_SCN_001784,E5,E2_LLM_RAG,mock,False,False,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,2.07951603481136,0.49439928762412727,False
IEEE14_SCN_001664,E5,E2_LLM_RAG,mock,False,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.847286538792339,0.3212572557470458,False
IEEE14_SCN_001796,E5,E2_LLM_RAG,mock,True,False,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,2.1489312554760365,0.8422098182770626,True
IEEE14_SCN_002785,E9,E2_LLM_RAG,mock,False,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,2.235275602895234,0.36972196279666497,False
IEEE14_SCN_002988,E9,E2_LLM_RAG,mock,False,True,True,"{'H-NUM': False, 'H-TOP': True, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,2.012241688682466,0.4404370533849485,False
IEEE14_SCN_002341,E7,E2_LLM_RAG,mock,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.6993601631433806,0.41841011203965434,False
IEEE14_SCN_002050,E6,E2_LLM_RAG,mock,True,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.131366879981174,0.616305985802311,True
