scenario_id,event_class,config,model,correct_diag,correct_tool,grounded,halluc,recommendation,latency,confidence,is_correct
IEEE14_SCN_000529,E1,E1_LLM,muse-spark-1.2,True,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.674326522170841,0.8108028158174403,True
IEEE14_SCN_000755,E2,E1_LLM,muse-spark-1.2,True,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.2170113688872595,0.6537986115432953,True
IEEE14_SCN_002952,E9,E1_LLM,muse-spark-1.2,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.5229317225515685,0.5052154750390463,False
IEEE14_SCN_001155,E3,E1_LLM,muse-spark-1.2,False,True,True,"{'H-NUM': False, 'H-TOP': True, 'H-EQP': False, 'H-PHY': True, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.9295868677747227,0.3717288781202437,False
IEEE14_SCN_000870,E2,E1_LLM,muse-spark-1.2,True,True,False,"{'H-NUM': True, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.645075887644598,0.6708517386647714,True
IEEE14_SCN_002776,E9,E1_LLM,muse-spark-1.2,False,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': True, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.2696486956114381,0.5472260211822465,False
IEEE14_SCN_001827,E6,E1_LLM,muse-spark-1.2,False,False,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,0.8929196393238797,0.6318931165821362,False
IEEE14_SCN_000405,E1,E1_LLM,muse-spark-1.2,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.6794153906025399,0.5690394086412425,False
IEEE14_SCN_001384,E4,E1_LLM,muse-spark-1.2,True,False,True,"{'H-NUM': True, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.8629615838405772,0.65366424676409,True
IEEE14_SCN_001379,E4,E1_LLM,muse-spark-1.2,False,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.6648042436557011,0.3582110505632416,False
IEEE14_SCN_000337,E1,E1_LLM,muse-spark-1.2,True,False,True,"{'H-NUM': True, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.6815003573837092,0.6691233346098739,True
IEEE14_SCN_001784,E5,E1_LLM,muse-spark-1.2,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.5,0.6907343054916366,True
IEEE14_SCN_001664,E5,E1_LLM,muse-spark-1.2,True,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': True}",SUCCESS,1.1702078542994065,0.7300598350360927,True
IEEE14_SCN_001796,E5,E1_LLM,muse-spark-1.2,True,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,0.8632967278134426,0.7600309525050326,True
IEEE14_SCN_002785,E9,E1_LLM,muse-spark-1.2,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': True, 'H-ACT': False}",NO_EFFECT,0.8745886681659192,0.4900712134882662,False
IEEE14_SCN_002988,E9,E1_LLM,muse-spark-1.2,False,False,False,"{'H-NUM': False, 'H-TOP': True, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.0944343240647554,0.6132808835283502,False
IEEE14_SCN_002341,E7,E1_LLM,muse-spark-1.2,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,0.5343202470584583,0.5294272556369084,False
IEEE14_SCN_002050,E6,E1_LLM,muse-spark-1.2,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': True, 'H-PHY': False, 'H-TOOL': True, 'H-ACT': False}",SUCCESS,0.6373648428973153,0.2635973197706184,False
IEEE14_SCN_001817,E6,E1_LLM,muse-spark-1.2,True,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",SUCCESS,1.474688047770201,0.7661550954831121,True
IEEE14_SCN_001253,E4,E1_LLM,muse-spark-1.2,True,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': True}",SUCCESS,1.0066250263130525,0.4006839978104449,True
IEEE14_SCN_000529,E1,E2_LLM_RAG,muse-spark-1.2,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.4661371801046779,0.4671001965909134,True
IEEE14_SCN_000755,E2,E2_LLM_RAG,muse-spark-1.2,False,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': True, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.2256993052571041,0.498402295790839,False
IEEE14_SCN_002952,E9,E2_LLM_RAG,muse-spark-1.2,True,True,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': True, 'H-ACT': False}",NO_EFFECT,1.23247750717949,0.8484299667144881,True
IEEE14_SCN_001155,E3,E2_LLM_RAG,muse-spark-1.2,True,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,2.165967032029216,0.7865623631373071,True
IEEE14_SCN_000870,E2,E2_LLM_RAG,muse-spark-1.2,False,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,2.195531379213179,0.07007181480337554,False
IEEE14_SCN_002776,E9,E2_LLM_RAG,muse-spark-1.2,False,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': True, 'H-ACT': False}",NO_EFFECT,1.5146483595845772,0.26259671745410407,False
IEEE14_SCN_001827,E6,E2_LLM_RAG,muse-spark-1.2,True,False,True,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,1.4129236576131163,0.816706787149325,True
IEEE14_SCN_000405,E1,E2_LLM_RAG,muse-spark-1.2,True,True,False,"{'H-NUM': False, 'H-TOP': False, 'H-EQP': False, 'H-PHY': False, 'H-TOOL': False, 'H-ACT': False}",NO_EFFECT,0.6991574397687453,0.7861448138770992,True
