config,type,rate
E1_LLM,H-NUM,0.115
E1_LLM,H-TOP,0.10166666666666667
E1_LLM,H-EQP,0.09166666666666666
E1_LLM,H-PHY,0.08333333333333333
E1_LLM,H-TOOL,0.09
E1_LLM,H-ACT,0.08666666666666667
E2_LLM_RAG,H-NUM,0.03666666666666667
E2_LLM_RAG,H-TOP,0.06166666666666667
E2_LLM_RAG,H-EQP,0.045
E2_LLM_RAG,H-PHY,0.055
E2_LLM_RAG,H-TOOL,0.06166666666666667
E2_LLM_RAG,H-ACT,0.055
E3_LLM_Tools,H-NUM,0.03166666666666667
E3_LLM_Tools,H-TOP,0.03833333333333333
E3_LLM_Tools,H-EQP,0.035
E3_LLM_Tools,H-PHY,0.045
E3_LLM_Tools,H-TOOL,0.045
E3_LLM_Tools,H-ACT,0.03666666666666667
E4_Full,H-NUM,0.018333333333333333
E4_Full,H-TOP,0.025
E4_Full,H-EQP,0.015
E4_Full,H-PHY,0.015
E4_Full,H-TOOL,0.01
E4_Full,H-ACT,0.015
