config,type,rate,model
E1_LLM,H-NUM,0.0,gemini-3.5-flash-lite
E1_LLM,H-TOP,0.014285714285714285,gemini-3.5-flash-lite
E1_LLM,H-EQP,0.0,gemini-3.5-flash-lite
E1_LLM,H-PHY,0.0,gemini-3.5-flash-lite
E1_LLM,H-TOOL,0.0,gemini-3.5-flash-lite
E1_LLM,H-ACT,0.0,gemini-3.5-flash-lite
E2_LLM_RAG,H-NUM,0.0,gemini-3.5-flash-lite
E2_LLM_RAG,H-TOP,0.007142857142857143,gemini-3.5-flash-lite
E2_LLM_RAG,H-EQP,0.0,gemini-3.5-flash-lite
E2_LLM_RAG,H-PHY,0.0,gemini-3.5-flash-lite
E2_LLM_RAG,H-TOOL,0.0,gemini-3.5-flash-lite
E2_LLM_RAG,H-ACT,0.0,gemini-3.5-flash-lite
E3_LLM_Tools,H-NUM,0.0,gemini-3.5-flash-lite
E3_LLM_Tools,H-TOP,0.0018867924528301887,gemini-3.5-flash-lite
E3_LLM_Tools,H-EQP,0.0,gemini-3.5-flash-lite
E3_LLM_Tools,H-PHY,0.0,gemini-3.5-flash-lite
E3_LLM_Tools,H-TOOL,0.0,gemini-3.5-flash-lite
E3_LLM_Tools,H-ACT,0.0,gemini-3.5-flash-lite
E4_Full,H-NUM,0.0,gemini-3.5-flash-lite
E4_Full,H-TOP,0.0,gemini-3.5-flash-lite
E4_Full,H-EQP,0.0,gemini-3.5-flash-lite
E4_Full,H-PHY,0.0,gemini-3.5-flash-lite
E4_Full,H-TOOL,0.0,gemini-3.5-flash-lite
E4_Full,H-ACT,0.0,gemini-3.5-flash-lite
