config,type,rate
E1_LLM,H-NUM,0.06833333333333333
E1_LLM,H-TOP,0.06333333333333334
E1_LLM,H-EQP,0.08166666666666667
E1_LLM,H-PHY,0.07333333333333333
E1_LLM,H-TOOL,0.05333333333333334
E1_LLM,H-ACT,0.07166666666666667
E2_LLM_RAG,H-NUM,0.04
E2_LLM_RAG,H-TOP,0.03666666666666667
E2_LLM_RAG,H-EQP,0.035
E2_LLM_RAG,H-PHY,0.04666666666666667
E2_LLM_RAG,H-TOOL,0.03
E2_LLM_RAG,H-ACT,0.03666666666666667
E3_LLM_Tools,H-NUM,0.035
E3_LLM_Tools,H-TOP,0.041666666666666664
E3_LLM_Tools,H-EQP,0.043333333333333335
E3_LLM_Tools,H-PHY,0.023333333333333334
E3_LLM_Tools,H-TOOL,0.041666666666666664
E3_LLM_Tools,H-ACT,0.023333333333333334
E4_Full,H-NUM,0.008333333333333333
E4_Full,H-TOP,0.01
E4_Full,H-EQP,0.011666666666666667
E4_Full,H-PHY,0.01
E4_Full,H-TOOL,0.008333333333333333
E4_Full,H-ACT,0.011666666666666667
