config,event_class,diag_acc,tool_acc
E1_LLM,E0,0.58,0.44
E1_LLM,E1,0.6716417910447762,0.373134328358209
E1_LLM,E2,0.6551724137931034,0.39655172413793105
E1_LLM,E3,0.6333333333333333,0.6
E1_LLM,E4,0.6119402985074627,0.43283582089552236
E1_LLM,E5,0.5409836065573771,0.5573770491803278
E1_LLM,E6,0.4727272727272727,0.43636363636363634
E1_LLM,E7,0.5081967213114754,0.3770491803278688
E1_LLM,E8,0.4794520547945205,0.3972602739726027
E1_LLM,E9,0.375,0.3125
E2_LLM_RAG,E0,0.8,0.58
E2_LLM_RAG,E1,0.7164179104477612,0.5223880597014925
E2_LLM_RAG,E2,0.6206896551724138,0.6379310344827587
E2_LLM_RAG,E3,0.7833333333333333,0.5
E2_LLM_RAG,E4,0.746268656716418,0.5223880597014925
E2_LLM_RAG,E5,0.5901639344262295,0.5409836065573771
E2_LLM_RAG,E6,0.6,0.6181818181818182
E2_LLM_RAG,E7,0.6885245901639344,0.4918032786885246
E2_LLM_RAG,E8,0.7397260273972602,0.589041095890411
E2_LLM_RAG,E9,0.5208333333333334,0.4375
E3_LLM_Tools,E0,0.74,0.9
E3_LLM_Tools,E1,0.7164179104477612,0.8507462686567164
E3_LLM_Tools,E2,0.8103448275862069,0.8620689655172413
E3_LLM_Tools,E3,0.85,0.8333333333333334
E3_LLM_Tools,E4,0.835820895522388,0.7611940298507462
E3_LLM_Tools,E5,0.7868852459016393,0.8852459016393442
E3_LLM_Tools,E6,0.7272727272727273,0.8181818181818182
E3_LLM_Tools,E7,0.6557377049180327,0.6721311475409836
E3_LLM_Tools,E8,0.8082191780821918,0.7671232876712328
E3_LLM_Tools,E9,0.625,0.6875
E4_Full,E0,0.86,0.9
E4_Full,E1,0.8955223880597015,0.8507462686567164
E4_Full,E2,0.9310344827586207,0.9137931034482759
E4_Full,E3,0.9,0.9
E4_Full,E4,0.8955223880597015,0.835820895522388
E4_Full,E5,0.9016393442622951,0.9180327868852459
E4_Full,E6,0.8363636363636363,0.8909090909090909
E4_Full,E7,0.8688524590163934,0.8360655737704918
E4_Full,E8,0.9178082191780822,0.8493150684931506
E4_Full,E9,0.8125,0.7083333333333334
