config,event_class,diag_acc,tool_acc
E1_LLM,E0,0.0,1.0
E1_LLM,E1,0.0,1.0
E1_LLM,E2,0.0,1.0
E1_LLM,E3,0.0,1.0
E1_LLM,E4,0.0,1.0
E1_LLM,E5,0.0,1.0
E1_LLM,E7,1.0,1.0
E1_LLM,E9,0.0,1.0
E2_LLM_RAG,E0,0.0,1.0
E2_LLM_RAG,E1,0.0,1.0
E2_LLM_RAG,E2,0.0,1.0
E2_LLM_RAG,E3,0.03333333333333333,1.0
E2_LLM_RAG,E4,0.0,1.0
E2_LLM_RAG,E5,0.0,1.0
E2_LLM_RAG,E7,1.0,1.0
E2_LLM_RAG,E9,0.0,1.0
E3_LLM_Tools,E0,0.0,1.0
E3_LLM_Tools,E1,0.0,1.0
E3_LLM_Tools,E2,0.0,1.0
E3_LLM_Tools,E3,0.0,1.0
E3_LLM_Tools,E4,0.0,1.0
E3_LLM_Tools,E5,0.0,1.0
E3_LLM_Tools,E7,1.0,1.0
E3_LLM_Tools,E9,0.0,1.0
E4_Full,E0,0.0,1.0
E4_Full,E1,0.0,1.0
E4_Full,E2,0.0,1.0
E4_Full,E3,0.0,1.0
E4_Full,E4,0.0,1.0
E4_Full,E5,0.0,1.0
E4_Full,E7,1.0,1.0
E4_Full,E9,0.0,1.0
