config,event_class,diag_acc,tool_acc
E1_LLM,E0,0.6,0.4
E1_LLM,E1,1.0,1.0
E1_LLM,E2,1.0,1.0
E1_LLM,E3,1.0,1.0
E1_LLM,E4,1.0,0.5
E1_LLM,E5,1.0,1.0
E1_LLM,E7,1.0,1.0
E1_LLM,E9,0.9705882352941176,1.0
E2_LLM_RAG,E0,0.6,0.8
E2_LLM_RAG,E1,1.0,1.0
E2_LLM_RAG,E2,1.0,1.0
E2_LLM_RAG,E3,1.0,1.0
E2_LLM_RAG,E4,1.0,0.6111111111111112
E2_LLM_RAG,E5,1.0,1.0
E2_LLM_RAG,E7,1.0,1.0
E2_LLM_RAG,E9,0.9411764705882353,0.9411764705882353
E3_LLM_Tools,E0,0.4,1.0
E3_LLM_Tools,E1,1.0,1.0
E3_LLM_Tools,E2,1.0,1.0
E3_LLM_Tools,E3,1.0,1.0
E3_LLM_Tools,E4,1.0,1.0
E3_LLM_Tools,E5,1.0,1.0
E3_LLM_Tools,E7,1.0,1.0
E3_LLM_Tools,E9,0.9117647058823529,1.0
E4_Full,E0,0.6,1.0
E4_Full,E1,1.0,1.0
E4_Full,E2,1.0,1.0
E4_Full,E3,1.0,1.0
E4_Full,E4,1.0,0.9444444444444444
E4_Full,E5,1.0,1.0
E4_Full,E7,1.0,1.0
E4_Full,E9,0.9705882352941176,1.0
