scenario_id,stated_tool,executed_ok,converged,informative,detail,case
CASE39_SCN_000089,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000089,power_flow,True,True,True,vmin=1.010 maxload=92.9,case39
CASE39_SCN_000112,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000112,power_flow,True,True,True,vmin=1.011 maxload=97.2,case39
CASE39_SCN_000120,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000120,power_flow,True,True,True,vmin=1.009 maxload=80.5,case39
CASE39_SCN_000158,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000158,none,False,False,False,unknown tool,case39
CASE39_SCN_000158,power_flow,True,True,True,vmin=1.009 maxload=75.6,case39
CASE39_SCN_000328,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000328,power_flow,True,True,True,vmin=1.006 maxload=76.7,case39
CASE39_SCN_000544,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000544,power_flow,True,True,True,vmin=1.008 maxload=75.7,case39
CASE39_SCN_000584,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000584,power_flow,True,True,True,vmin=0.988 maxload=101.6,case39
CASE39_SCN_000615,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000615,power_flow,True,True,True,vmin=1.010 maxload=82.0,case39
CASE39_SCN_000634,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000634,power_flow,True,True,True,vmin=1.007 maxload=75.5,case39
CASE39_SCN_000654,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000654,power_flow,True,True,True,vmin=1.009 maxload=76.6,case39
CASE39_SCN_000677,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000677,none,False,False,False,unknown tool,case39
CASE39_SCN_000677,power_flow,True,True,True,vmin=1.006 maxload=77.0,case39
CASE39_SCN_000810,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000810,power_flow,True,True,True,vmin=1.011 maxload=97.4,case39
CASE39_SCN_000854,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000854,power_flow,True,True,True,vmin=1.009 maxload=78.0,case39
CASE39_SCN_000856,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000856,power_flow,True,True,True,vmin=1.011 maxload=94.5,case39
CASE39_SCN_000863,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000863,power_flow,True,True,True,vmin=1.009 maxload=75.0,case39
CASE39_SCN_000893,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000893,power_flow,True,True,True,vmin=0.946 maxload=131.6,case39
CASE39_SCN_000920,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_000920,none,False,False,False,unknown tool,case39
CASE39_SCN_000920,power_flow,True,True,True,vmin=1.002 maxload=90.9,case39
CASE39_SCN_001060,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_001060,none,False,False,False,unknown tool,case39
CASE39_SCN_001060,power_flow,True,True,True,vmin=1.007 maxload=77.0,case39
CASE39_SCN_001093,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_001093,power_flow,True,True,True,vmin=1.007 maxload=75.7,case39
CASE39_SCN_001124,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_001124,power_flow,True,True,True,vmin=1.006 maxload=76.9,case39
CASE39_SCN_001134,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_001134,power_flow,True,True,True,vmin=1.010 maxload=100.0,case39
CASE39_SCN_001145,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_001145,power_flow,True,True,True,vmin=1.012 maxload=107.2,case39
CASE39_SCN_001213,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_001213,power_flow,True,True,True,vmin=1.010 maxload=91.3,case39
CASE39_SCN_001218,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_001218,power_flow,True,True,True,vmin=1.008 maxload=75.5,case39
CASE39_SCN_001223,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_001223,power_flow,True,True,True,vmin=1.011 maxload=155.7,case39
CASE39_SCN_001250,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_001250,power_flow,True,True,True,vmin=1.007 maxload=75.5,case39
CASE39_SCN_001356,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_001356,power_flow,True,True,True,vmin=1.010 maxload=81.1,case39
CASE39_SCN_001405,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_001405,power_flow,True,True,True,vmin=1.007 maxload=76.0,case39
CASE39_SCN_001407,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_001407,power_flow,True,True,True,vmin=1.007 maxload=77.0,case39
CASE39_SCN_001500,grid_query,True,True,True,query on post-event net: vmin=1.008,case39
CASE39_SCN_001500,power_flow,True,True,True,vmin=1.003 maxload=184.4,case39
CASE39_SCN_001549,contingency,True,True,True,vmin=1.009 maxload=104.8 ol=1,case39
CASE39_SCN_001567,contingency,True,True,True,vmin=0.985 maxload=113.6 ol=2,case39
CASE39_SCN_001586,contingency,True,True,True,vmin=1.002 maxload=94.7 ol=0,case39
