scenario_id,stated_tool,executed_ok,converged,informative,detail,case
IEEE14_SCN_000054,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000054,power_flow,True,True,True,vmin=0.976 maxload=1.5,ieee14
IEEE14_SCN_000068,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000068,power_flow,True,True,True,vmin=0.977 maxload=1.4,ieee14
IEEE14_SCN_000073,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000073,power_flow,True,True,True,vmin=0.975 maxload=1.5,ieee14
IEEE14_SCN_000095,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000095,power_flow,True,True,True,vmin=0.966 maxload=1.6,ieee14
IEEE14_SCN_000199,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000199,none,False,False,False,unknown tool,ieee14
IEEE14_SCN_000199,power_flow,True,True,True,vmin=0.989 maxload=0.9,ieee14
IEEE14_SCN_000326,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000326,power_flow,True,True,True,vmin=0.973 maxload=1.5,ieee14
IEEE14_SCN_000337,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000337,power_flow,True,True,True,vmin=0.984 maxload=1.3,ieee14
IEEE14_SCN_000352,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000352,power_flow,True,True,True,vmin=0.981 maxload=1.1,ieee14
IEEE14_SCN_000370,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000370,power_flow,True,True,True,vmin=0.979 maxload=1.2,ieee14
IEEE14_SCN_000382,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000382,none,False,False,False,unknown tool,ieee14
IEEE14_SCN_000382,power_flow,True,True,True,vmin=0.987 maxload=1.1,ieee14
IEEE14_SCN_000392,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000392,power_flow,True,True,True,vmin=0.971 maxload=1.5,ieee14
IEEE14_SCN_000405,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000405,power_flow,True,True,True,vmin=0.986 maxload=1.1,ieee14
IEEE14_SCN_000407,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000407,none,False,False,False,unknown tool,ieee14
IEEE14_SCN_000407,power_flow,True,True,True,vmin=0.963 maxload=1.6,ieee14
IEEE14_SCN_000512,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000512,none,False,False,False,unknown tool,ieee14
IEEE14_SCN_000512,power_flow,True,True,True,vmin=0.978 maxload=1.2,ieee14
IEEE14_SCN_000521,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000521,power_flow,True,True,True,vmin=0.983 maxload=1.0,ieee14
IEEE14_SCN_000529,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000529,power_flow,True,True,True,vmin=0.971 maxload=1.5,ieee14
IEEE14_SCN_000539,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000539,power_flow,True,True,True,vmin=0.969 maxload=1.6,ieee14
IEEE14_SCN_000556,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000556,power_flow,True,True,True,vmin=0.976 maxload=1.4,ieee14
IEEE14_SCN_000636,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000636,power_flow,True,True,True,vmin=0.986 maxload=1.0,ieee14
IEEE14_SCN_000679,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000679,power_flow,True,True,True,vmin=0.985 maxload=1.0,ieee14
IEEE14_SCN_000688,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000688,power_flow,True,True,True,vmin=0.975 maxload=1.4,ieee14
IEEE14_SCN_000730,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000730,power_flow,True,True,True,vmin=0.989 maxload=1.0,ieee14
IEEE14_SCN_000735,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000735,power_flow,True,True,True,vmin=0.988 maxload=1.0,ieee14
IEEE14_SCN_000738,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000738,none,False,False,False,unknown tool,ieee14
