outaged_component,type,converged,islanded,v_min_pu,v_max_pu,max_loading_percent
line_1_2,line,True,False,0.9677305318772013,1.06,2.3678265645341376
line_1_5,line,True,False,0.9713461510321536,1.06,2.1518410421384067
line_2_3,line,True,False,0.9713391132201451,1.06,1.3732724664744624
line_2_4,line,True,False,0.9709038904344578,1.06,1.3309054550749444
line_2_5,line,True,False,0.9729413131470884,1.06,1.328658814736242
line_3_4,line,True,False,0.9714269536614695,1.06,1.4980510334655561
line_4_5,line,True,False,0.9673505035729406,1.06,1.6286594194996884
line_6_11,line,True,False,0.9393223934318446,1.06,1.451852369536549
line_6_12,line,True,False,0.9696657518764353,1.06,1.4482017133112344
line_6_13,line,True,False,0.9397100617833539,1.06,1.454396707830891
line_9_10,line,True,False,0.9720748825793979,1.06,1.445432517841377
line_9_14,line,True,False,0.9699102311352333,1.06,1.4458306336576385
line_10_11,line,True,False,0.9530461258676706,1.06,1.4493512780340536
line_12_13,line,True,False,0.9725138825860979,1.06,1.4465285911335992
line_13_14,line,True,False,0.9390005803342442,1.06,1.4486903463694736
